epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.2271,1.383,10.7285,0.82795,1.63801,2.34973,0.22133,0.314,0.18004,0.05056,0.01941,0.02,0.00086,0.00014,1.92523,11.3195,0.75174,7.13544,3.61859,0.07006,0.00332667,0.00332667
2,127.359,1.42198,10.4371,0.8114,1.82022,2.42715,0.3265,0.489,0.33336,0.11138,0.03323,0.026,0.00383,0.00074,1.58978,10.3681,0.73344,2.06866,2.87811,0.0399934,0.00659341,0.00659341
3,178.626,1.36566,10.1366,0.80262,1.78329,2.37957,0.29699,0.487,0.29163,0.10421,0.03062,0.055,0.00547,0.00106,1.42476,10.1222,0.72804,2.03831,2.5378,0.00986015,0.00979349,0.00979349
4,229.565,1.32608,9.82327,0.80028,1.71524,2.297,0.48731,0.594,0.54929,0.21244,0.0546,0.074,0.013,0.00214,1.31527,9.50105,0.72197,1.73917,2.34846,0.00970003,0.00970003,0.00970003
5,280.044,1.28724,9.58505,0.79966,1.60118,2.24851,0.5243,0.577,0.55093,0.19729,0.12065,0.075,0.02546,0.00466,1.41374,9.37009,0.71686,1.62495,2.44022,0.00960004,0.00960004,0.00960004
6,330.875,1.24692,9.42735,0.79866,1.58464,2.18169,0.65991,0.702,0.70695,0.29609,0.16657,0.102,0.04481,0.0077,1.25337,9.09419,0.72041,1.47215,2.2337,0.00950005,0.00950005,0.00950005
7,381.559,1.20402,9.16749,0.79679,1.44505,2.10769,0.70339,0.698,0.75346,0.34651,0.15406,0.111,0.05311,0.01197,1.24614,8.79811,0.71454,1.31674,2.17995,0.00940006,0.00940006,0.00940006
8,432.108,1.19716,9.02313,0.79783,1.39379,2.08402,0.69948,0.721,0.75974,0.33708,0.14733,0.125,0.04688,0.0103,1.27136,8.77768,0.71585,1.30964,2.23025,0.00930007,0.00930007,0.00930007
9,482.642,1.17686,8.93945,0.79538,1.34871,2.04602,0.75716,0.759,0.81399,0.38767,0.17478,0.134,0.05404,0.01104,1.16981,8.61956,0.71375,1.26972,2.10725,0.00920008,0.00920008,0.00920008
10,533.165,1.15529,8.83746,0.79363,1.34523,2.02772,0.78141,0.76143,0.83481,0.40099,0.1902,0.18,0.07848,0.01544,1.15072,8.31228,0.71186,1.18278,2.08248,0.00910009,0.00910009,0.00910009
