epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3486,1.1751,10.5524,1.24151,1.31432,1.95528,0.68157,0.745,0.73844,0.2729,0.01879,0.017,0.00111,0.00014,1.51623,10.0058,1.01208,1.92088,2.48096,0.01,0.000109347,0.000109347
2,71.09,0.85265,7.82095,0.94764,0.848,1.47995,0.82311,0.861,0.85951,0.40725,0.05821,0.087,0.0164,0.00224,1.25256,8.64249,0.82367,1.14966,1.69721,0.0099996,0.000220058,0.000220058
3,100.204,0.8394,6.75857,0.85357,0.79791,1.43563,0.86584,0.911,0.90472,0.4641,0.1685,0.145,0.05283,0.00848,1.11319,7.98222,0.74384,0.90151,1.53024,0.00999879,0.000330364,0.000330364
4,128.406,0.85521,6.41693,0.83134,0.8082,1.44734,0.79229,0.838,0.84679,0.37355,0.22611,0.243,0.09046,0.01561,1.34152,7.62952,0.7355,1.09658,1.84339,0.00999759,0.000440266,0.000440266
5,156.902,0.86571,6.47369,0.82777,0.84946,1.47415,0.78495,0.8103,0.82442,0.36126,0.2175,0.178,0.07443,0.01302,1.22586,8.10544,0.73068,1.16308,1.73416,0.00999597,0.000549764,0.000549764
6,201.673,0.88333,6.45324,0.82154,0.86896,1.47281,0.711,0.76,0.76232,0.36367,0.20107,0.206,0.06271,0.0099,1.21652,7.85978,0.71948,1.45494,1.70299,0.00999396,0.000658858,0.000658858
7,230.956,0.88654,6.49808,0.81256,0.90071,1.49421,0.68222,0.77716,0.74091,0.28261,0.14684,0.155,0.04906,0.00877,1.4313,8.15071,0.70929,1.75462,2.04315,0.00999153,0.000767549,0.000767549
8,259.585,0.89328,6.51506,0.81158,0.90123,1.49078,0.69933,0.751,0.72419,0.27406,0.10479,0.117,0.02921,0.00498,1.5374,8.27672,0.71306,1.50928,2.12126,0.00998871,0.000875835,0.000875835
9,287.485,0.89167,6.48255,0.81189,0.9217,1.48381,0.59249,0.74151,0.64591,0.24107,0.12136,0.139,0.03065,0.00519,1.56424,8.37641,0.72006,1.94213,2.1712,0.00998548,0.000983717,0.000983717
10,316.469,0.89321,6.50167,0.81223,0.93655,1.48143,0.73317,0.788,0.77814,0.3194,0.24738,0.237,0.10222,0.02067,1.36735,7.60449,0.70653,1.67286,1.94117,0.00998185,0.00109119,0.00109119
11,344.532,0.88775,6.42228,0.80595,0.92526,1.4775,0.72046,0.69844,0.72525,0.29542,0.23655,0.195,0.08444,0.01543,1.49914,8.11032,0.70579,1.5783,2.0966,0.00997781,0.00119827,0.00119827
12,386.924,0.89218,6.49243,0.80468,0.93413,1.47543,0.68953,0.738,0.73923,0.28283,0.2145,0.217,0.0821,0.01431,1.4542,7.68102,0.70346,1.45936,2.0076,0.00997337,0.00130494,0.00130494
13,415.91,0.88938,6.41391,0.81159,0.90194,1.4625,0.66116,0.709,0.68707,0.25391,0.19306,0.2,0.06229,0.01147,1.63063,7.87599,0.70682,1.75364,2.27512,0.00996852,0.0014112,0.0014112
14,444.266,0.88685,6.38359,0.80459,0.90739,1.45632,0.77439,0.804,0.82864,0.36929,0.28074,0.26268,0.10741,0.01983,1.26637,7.65541,0.70152,1.42231,1.69124,0.00996327,0.00151707,0.00151707
15,472.954,0.87495,6.38946,0.80164,0.88816,1.45488,0.68312,0.72002,0.71813,0.29633,0.23651,0.22,0.08534,0.01786,1.44061,7.91535,0.70201,1.48576,1.95575,0.00995762,0.00162252,0.00162252
